Name,Job Title,Company,Profile Link
Stephen Demko,Senior Advertiser Account Manager,Interest Media,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzY0MTg5MDM=
Oleksandr Demydiuk,Founder,Demydiuk O.O.,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU0ODg4NjM=
George Dendrinos,Affiliate,4am Media,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYyNzg5ODM=
Michelle Dennard,CEO,Seismic Wave Support,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU0ODgxMDU=
Kevin Dennehy,Editor and Publisher,GTCI,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU1MzQyMTg=
Chelsea Denning,"Sr. Director, Performance Media",Ignite Media Group,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU5MzQ3NTY=
Jackie Dennis,Director of Partnerships,Pixly,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYzMjcxOTQ=
Scott Denoon,Director of Client Services,RRDB L!VE,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzY4MDUwMDQ=
Kayla Denton,Growth Marketing Specialist,Mariner Finance,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU0ODk1MDA=
Bryan DePalma,"Director, Strategic Partnerships",ZippyLoan,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU0OTA1MTk=
Holly Depies,Director of Biz Dev,Ringlab Media,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzY3OTQ4Nzc=
Temesha Derby,Marketing Analyst,PEC,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYwMDUyODk=
Elik Dermer,CEO,Webtronic Ltd,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYwNTc0MTM=
Nadia Descalzi,"Manager, Global Media",Marriott,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYyNjQ3Njg=
Dan DeSilva,"Sr. Director, Agency Services","The Aragon Company, Vibrant Performance",/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYxMTU3OTI=
Marie-France Desire,Account Manager,Ads.com,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU0ODk3OTk=
Joshua Desousa,Advertising,BitChute,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYzODM4NjM=
Tiago DeSouza,Owner,Mr Remodel,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU0OTAyOTA=
Pralav Dessai,CTO,"Dream Shake Media, LLC",/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYxNTY3MjI=
Sean Detalence,Growth Marketing Manager Affiliate,Kraken,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzY1MTkzMTg=
Dexter Dethmers,Co-Founder,Hi Energy Agency,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzY0MTgwNTg=
Tim Detmer,President,ND2A Group,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU4NTA2NjU=
Megan Devenport,AM,Launchify,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU5MDU4NzU=
Cole Devine,Senior Account Manager,Adsbranded,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYxNjg4NDU=
Lizzie DeVito,CEO,Panicle INC,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYzNDMwNzk=
Zach DeVore,Account Manager,Oddbytes,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU0ODk3NTI=
Kyle Dewaal,Account Executive,impact.com,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYzNTY0MzQ=
Andrew Dewdney,Partner Lead,Cardlytics,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYyOTMwMTk=
Evan DeZaldo,Sr. Partner Manager,GiddyUp,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYwNDMyMzc=
Shaz Dhalla,President,Coast Nation Technologies,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU0ODgxMzg=
Keziah Dhamma,VP Digital Transformation,Position2 Inc,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYwMTEwMzI=
Sanjeev Christopher Dhanaraj,VP Digital Transformation,Position2 Inc,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzY5MTk4MDA=
andy dhanik,Ad Sales,Vuukle,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU4NTI2OTE=
Andy Dhanik,Revenue Operations,IQzone Inc,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU3ODUyMjI=
Samarth Dhingra,Manager Technology,PaisaWapas,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYwNTg1Mjg=
Deanna Di Bella,Marketing Manager,Traffic Tree LLC,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU4NTA5Mjg=
Jake Di Giovanni,Head of Business Development,FlipGive,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU0ODg0ODQ=
Victoria Di Raimondo,Account Manager,Active Junky,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYzNTk0NDU=
Christopher Danile Diaz,Business Development Manager,Vellko Media,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYwODYwMzM=
Chris Diaz,VP of Sales,EDM Lead Network,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzY2NTk2MzA=
Lauren Dick,Executive Director,Mail Metro Media,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU0OTAyMjc=
Stephen Dickman,CMO,Green Regimen,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU0ODk4NTY=
Christina Diederich,Head of Strategic Partnerships,Rooftop Digital,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYyOTYyMjQ=
Ryan Diehl,Head of Retail Media Partnerships,Howl,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzY4NzA3NzU=
Sean Diener,"Director, Performance Media",Converge,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzY3NTAyNjg=
Anthony DiFranco,Enterprise Account Executive,Avantlink,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYwMjk1MDM=
Raymond Dijkxhoorn,CTO,E-HAWK,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU3ODk0NTY=
Omer Dilian,Affiliate,Balemaro,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYzNDMwNjQ=
Julie Dillemann,Sr. Product Specialist,Microsoft,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU5MDY0MjA=
Anthony Dimayuga,Growth Partnerships,Tapjoy by Unity,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzY1NDQzMjg=
Jared Dimond,GM - Shop,Fetch,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU3NzcwMzY=
Jared DiPane,General Manager,The Streamable,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzUzNzAyMDE=
Sam Dipple,Head of Paid Media,Genie Shopping,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU0ODkxODM=
Lynn diptee,Account Manager,Spark Revenue,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU0OTA2NjM=
Ola Dissou Belo,Affiliate Networks Manager,Tiqets,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU0OTAxMzg=
Alexander Distadio,Head in Publisher Business Development,MGID,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYzMzYwOTY=
Harry Dixon,CEO & Founder,Checkmate,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYyNjU1NDc=
Brandt Dixon,Partnerships,Checkmate,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzY4MTM0NDI=
Tina Dixon,Chief Operating Officer,RingLab Media,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU0ODk4NzQ=
Manny Djornor,CEO,GCG media,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYwODA2Nzc=
Mihai Doaga,Media buyer,MIDOWEB SRL,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzY0OTg4MjQ=
Matt Dobson,CEO,The Offer,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzY5NjA1ODM=
Nick Dobson,CRO,Celeris,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU5ODcyNDY=
Ruairi Dodds,director/co-founder,Evolve performance media,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU0OTExNDU=
Jimmy Doheny,Director of Business Operations,Demand.io,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU0ODk3MDU=
Josh Doherty,Director - Affiliate Acquisition,Highlevel Inc,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzY0MTc4MzQ=
Benjamin Doherty,Business Development,Kikoff,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU3ODY5MDI=
Mitchell Dolan,Senior Affiliate Manager,Mobooka LLC,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYzNTgzMjI=
Robert Dolby,Owner / Founder,WikiConnections Ltd,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU0OTAyNzg=
Becky Doles,Sr. Content Marketing Manager,TUNE,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU3NjQ4MjA=
Jessica Dolnick,Director Of Affiliate,Applied Mind,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU0OTA5NzM=
Bob Marley Domeck,Content Creator,Pinpoint Payments,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYyNjUxNzQ=
Mike Dominick,Chief Growth Officer,BVIRAL,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU5NTAwODM=
Lea Donahue,"Assoc Mgr, Affiliate Partnerships",AddShoppers,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU0OTA4MTk=
Richard Donegan,COO,Kapture Performance Ltd.,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU0ODkxMDY=
Blake Donen,VP of Operations,High Wire Payments,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYwNjQyMzM=
Piper Donnelly,Account Director,Awin and ShareASale,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYwMjYzNjA=
Michael Donovan,Financial Investor,Capital Investments,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU0ODk4OTc=
JAYJAY DOOLAN,NA Affiliate & Partnership Manager,VistaPrint,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU0ODgwNTQ=
Edward Doong,Partnerships Lead,"ExpressVPN, CyberGhost, PIA",/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU3Njc3NzY=
Stephen Dorazio,Ceo,Primo Media,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU0ODgyMTU=
Seth Dorne,Division Manager,THE DORNE REGION/USHEALTH ADVISORS,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU0OTAxOTI=
Mariia Doroshenko,Business Development Manager,MyHomeQuote,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzY0MDY3MzU=
Nicole Dorwart,Affiliate,BTwoDirect,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzUzOTk5Mjk=
Bob Doseck,Email,TPKC Marketing,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU4NTMxMjg=
Janna Dougherty,US Partnerships Lead,Joko,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYwOTIyMzE=
Shawn Dougherty,COO,Society Brands,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU3NzYwNDM=
Brandon Douglas,Digital Marketer/Influencer,BD Music,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYxNjQyOTM=
Chris Douglass,Manager,EAI,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzY5OTA1NTY=
Alex Dounar,CPO,Brainsome,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzY3OTEwNjE=
Joseph Dower,"Senior Manager, Digital Marketing",SelectQuote insurance Services,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYwODY0OTI=
Nick Downarowicz,VP - Affiliate Marketing & Partnerships,Debt.com,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU0ODY4NDk=
Patrick Downes,General Counsel,PlatformPay.io,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU4OTY3NTk=
Paul Downie,President,Ghost Media Strategies,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU2MjM1NTE=
Patrick Doyle,General Manager,Forbes Advisor,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYyNTgzNjI=
robert doyle,director,Financial Warranty,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzY0NjUxMzI=
Katie Doyle,Senior Specialist Affiliate Marketing,LeafHome,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU0ODgzMzc=
Iulia Draghici,Media buyer,My own,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU0ODkyNzM=
Sharon Drake,Head of Business Development,Loans Canada,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU5ODgyMzQ=
Michael Drehwing,Chief Sales Officer,Cached,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU0ODk5MTA=
Christine Drew,Senior Affiliate Manager,"Vivint, Inc.",/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU3Nzg2ODM=
Stanley Drinkard,Owner,Safe Ship Moving,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU3OTcxOTY=
David Drory,Business Development Director,FrontStory Affiliates,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYyNzg5ODY=
Abby Drozd,Sr. Affiliate Manager,theSkimm,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU0ODg0NjI=
Vlad Druhov,CGO & Co-founder,Tech4you,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzY4NDQ4ODg=
Zinatra Dsouza,"Partner Marketing Manager, Affiliate",Media.net,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYzNDY0NzU=
Agustin Duarte,"Partner Marketing Manager, Affiliate",Zip Co,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYyNzg5Njg=
Andy Dubin,Sales Director,Flatiron Media LLC,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzUzOTQ4OTc=
Mark DuBois,CEO,Cannaball Ads,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU3NDg5Mzk=
Derek Duchesne,Software Engineer,ReferABuyer,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYyMTc2MDY=
Ryan Duey,Owner,Ryan Duey,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzY5NjEzMDA=
Bram Duindam,Managing Director/co-founder,Adpeako,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU4MjYwMzY=
Raymond Duke,affiliate superstar,"Duke Services, Inc",/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYyMTc3NzY=
Raphael Jan Duma,Director Advertiser Management,adnamics GmbH,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU4MzQzNjE=
Teddy Dumbauld,Advertising Account Director,Taboola,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzcwMzgwMDQ=
Shanelle Dunbar,Advertising Account Director,Taboola,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYwMjk0NTQ=
Mariel Dunlap,Affiliate Liaison,SNiP Nutrigenomics,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU5MTYyOTQ=
Julia Dunlap,Senior Account Manager,Red Ventures,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU4Nzc0NDc=
Tina Dunn,Sales Director,Perform[cb],/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU2MDU4NDg=
Simon Dunne,Owner,Your10k,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU3NjE5OTI=
Makayla Dunning,Account Manager,Wildfire Systems,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU0ODgwMjY=
Mike Dusanic,"Vice President, Jobs",Interest Media,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzY0MTg5MDI=
Sherri Dutton,Affiliate/influencer,Sassy saves,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU3NjUxNTI=
Guy Dvir,Partnerships Team Lead,Bright SDK,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYyNDc4MDY=
Shayna Dwyer,Sr. Account Representative,Bulldog Media Group,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU3NDU3Nzc=
Arie Dyk,Growth Partnerships Lead,Lemonade,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYyMTY5ODI=
Elliott Easterling,CEO,Bonbon Technologies,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzY5NjQ5NDQ=
Sharminy Eaton,Director of Operations,Pinpoint Payments,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYwNTgwMTg=
Jane Ebel-Leverenz,Affiliate Manager,"Unicorn Wealth LLC, DBA Proud Patriots",/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzcwMzg2MDc=
Lisa Ebeltott,CEO,Ceasars Entertainment,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYyNzQ2MzE=
Kyleigh Ebersole,CEO,Key Digital Strategies,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzY1NzIzNDc=
Erman Ebren,Director of Marketing,Realty Mogul Co.,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU0ODc4MTc=
Nicolas Echegaray,COO,Juno,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzY3MDI4NjE=
Gareth Eckley,"Sr. Manager, Partnerships",Capital One Shopping,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYxMTY0MDc=
Shayla Eddins,"Associate Account Manager, Partner Marketing",Round Barn Labs,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU0OTEwOTA=
Ace Eddleman,Founder,Revenue Elite,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzY3OTUwODI=
Dan Eddy,COO,"Green By Phone, Inc.",/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYwODUyMTE=
Troy Eddy,VP of Marketing,Nutricost,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU0ODg2MTg=
gina eden,Individual,INdividual,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYxNzM1Njk=
Alan Edgett,CEO,The Gig Agency,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzY5MjU1NTM=
Emily Edgett,Marketing Operations Manager,Kinetiq Media,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzY4NTU2MDA=
Christopher Edwards,Sr. Director of Affiliate Marketing,Bluehost / Hostgator,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYwNzU1Mjc=
Andrew Edwards,Media Buyer,Clique Media LTD,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU0OTAxMTk=
Oliver Edwards,Head of Commercial,"TFLI (US), Inc",/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU0OTA5OTI=
Tyler Eeds,Founder,Caerus Media,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU5MTYyODQ=
Hannah Egbert,Affiliate Operations Specialist,"Vivint, Inc.",/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU3Nzg2ODc=
Mariana Egosi,Founder,Pure Tribe,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU0ODk5MTg=
Noam Egosi,President,Pure Tribe,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU0ODgzMDM=
Daniel Ehevich,CEO,"Playdigo, Inc.",/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYxMTQ0NTg=
Saz Ehibor-Smith,Head of Account Specialist,Connexity/Skimlinks,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU3ODU0Njc=
Nate Ehrich,Co-Founder & CEO,Three Hyphens LLC,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU0ODgzNDA=
Will Ehrich,Founder & CEO,"Zeel Media, LLC",/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU0ODg0OTQ=
Brian Eisenberg,Affiliate,Ca2Sc LLC,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU0OTA1NTA=
Jeffrey Eisenberg,CRO,Media Intercept,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU0ODc4MDY=
Dmitriy (Motti) Ekht (Hecht),Sr Strategic Partnerships Executive,Mode Mobile LLC,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYzNDMwMzQ=
Matilda Ekloev,Senior Account Manager,N365 Group,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU0ODg3MjU=
Elad Elazar,Head of Partnerships,Kissterra,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYwOTUxNDA=
Eyal Elbaz,Account Executive,Outbrain,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU3ODU0MTU=
Meirav Eliahu,Media Buyer,Eshkol,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzY5NDA3NDQ=
Patrick Elias,Senior Partnerships Manager,Expedia Group,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzY5OTAyNzM=
A.J. Elliott,CEO,Dicer.ai,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzY2NDQzMDg=
Blake Elliott,Director of Partnerships,HyperTarget Marketing LLC,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU0OTA5NzU=
James Ellis,Affiliate Director,Social Catfish,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYyNjAzODc=
Nickolas Ellison,Affiliate Manager,Lets Make a Lead LLC,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU0ODg4NDY=
SCOTT ELMORE,Operations Manager,EPCVIP,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzY1NzM3MDM=
Steve Elsdon,Marketing & Promotions Manager,Venngo,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzUzMTk0ODA=
Lee Elwell,Marketing Director/Podcast Host,Geniuslink,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYyMjMwNjY=
Jarrett Embry,Senior Vice President of Marketing,Gen3 Marketing,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU3ODE4MzY=
Elizabeth Emerson,"Sr. Director, Brand Development",Button,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYyMTM3ODQ=
NAthan Enderle,Digital Marketing Leader,Scheels,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU3MzkzMjY=
Annie Eng,CEO,NHR Science,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYzNTY2MzI=
Amanda Engelking,Director Client Services,Partnerize,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzY3MDk1MzQ=
benji engelsman,Business Consultant,Z2A DIGITAL,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU4MjcyNTI=
Ian Engle,CEO,Discover Nimbus Media,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzY0NjI4NTY=
Jamal English,CEO,EDM Lead Network,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzY2NTk2MzE=
Kelsy Ensign,Account Manager,Rakuten Rewards,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYyNzkwMTA=
Mark Epes,Head of Commerce,Minerva Analytics,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU0ODk0OTk=
Brent Eppley,Affiliate Account Director,Future PLC,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU0ODg0NjY=
Gal Erez,Head of Operations,Intail AI,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzY5MzAyNzg=
Darcy Erickson,COO,Hero Brands,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzY5ODc5ODk=
Amanda Eriksson,Sr. Business Development,Atwave,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzY3OTcyODA=
Steve Erlich,President,ReturnMarketing.com,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU4NTI2MjY=
Olga Erm,CMO,Brainsome,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU0ODc1Nzg=
Elias Ervill,Owner,One Payment Plan Inc,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYzNjE2MTk=
Carlos Escalante,Marketing Specialist,NHR Science,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYzNTY2MzU=
Kate Eschenburg,"Manager, Partnerships",Forbes,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYyMTYxMzQ=
Rachel Escobar,Affiliate Marketing Manager,SmartFinancial,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU0ODgyNzY=
Burak Esen,Director of Business Development,Beyond Direct,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYxODE3MzQ=
Ali Esmaili,CEO,CBDfx,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzUzOTQ5MjQ=
Parrish Essell,Global Agency Director,Awin and ShareASale,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzYwMjYzNDg=
Shane Estes,Vice President of Sales,Inovio,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzY1NzAzNjk=
Jessica Estrada,Affiliate Manager,Motive Interactive,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzY1MjI1NTY=
Christian Estrellado,Affiliate,Estro Communications,/event/affiliate-summit-west-2025/person/RXZlbnRQZW9wbGVfMzU0ODgyNTY=
